text,label
"Taraflardan biri sözleşmeyi tek taraflı feshedebilir.",0
"İşveren çalışanı haksız gerekçeyle işten çıkarabilir.",0
"Bu madde taraflardan biri için orantısız yükümlülük getiriyor.",0
"Fesih halinde cezai şart uygulanacağı belirtilmiştir.",0
"Taraflardan biri yükümlülüğünü yerine getirmezse ağır yaptırım uygulanır.",0
"Madde taraflar arasında dengesizlik yaratabilir.",0
"İhlal durumunda tazminat hakkı yalnızca işverene tanınmıştır.",0
"Sözleşme süresi içinde tek taraflı değişiklik hakkı işverene aittir.",0
"Bu madde taraflardan biri için risk oluşturabilir.",0
"Yükümlülüklerin ihlali cezai yaptırıma tabidir.",0
"Taraflar yükümlülüklerini açık ve adil biçimde belirlemiştir.",1
"Taraflar karşılıklı mutabakatla fesih kararı alabilir.",1
"Şartlar her iki taraf için de eşit haklar tanımaktadır.",1
"Bu madde tarafların menfaat dengesini gözetmektedir.",1
"Taraflar anlaşmazlık halinde yetkili mahkemeyi belirlemiştir.",1
"İşçi ve işveren arasında adil çalışma koşulları oluşturulmuştur.",1
"Sözleşme açık hükümler içerir ve tarafları korur.",1
"Tüm maddeler yürürlükteki mevzuata uygundur.",1
"Ücret, izin ve çalışma koşulları eşit şekilde düzenlenmiştir.",1
"Taraflar arasında şeffaf iletişim yükümlülüğü vardır.",1
"Bu madde belirsiz ifadeler içeriyor.",2
"İfade muğlak, farklı şekillerde yorumlanabilir.",2
"Süre belirli değildir, uygulamada farklılık yaratabilir.",2
"Madde açık değildir ve yoruma açıktır.",2
"Taraflardan hangisinin yükümlü olduğu net belirtilmemiştir.",2
"Yükümlülük süresi muğlak biçimde ifade edilmiştir.",2
"Belirsiz ifadeler sözleşmenin geçerliliğini etkileyebilir.",2
"Bu madde uygulamada yanlış anlaşılmaya neden olabilir.",2
"Sözleşmede tarih veya taraf bilgileri eksiktir.",2
"Maddeye ilişkin koşullar açıkça tanımlanmamıştır.",2

